name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
El Amor Mejora,0.632,0.788,0,-4.961,1,0.0382,0.281,0,0.118,0.828,137.947,audio_features,7C0nHm0MCMFgVibsDYj6Dz,spotify:track:7C0nHm0MCMFgVibsDYj6Dz,https://api.spotify.com/v1/tracks/7C0nHm0MCMFgVibsDYj6Dz,https://api.spotify.com/v1/audio-analysis/7C0nHm0MCMFgVibsDYj6Dz,152787,4
#41,0.142,0.074,8,-30.556,1,0.0448,0.948,0.903,0.0944,0.0438,141.91,audio_features,0AHZtMbyjHWhtWmqE8Egv7,spotify:track:0AHZtMbyjHWhtWmqE8Egv7,https://api.spotify.com/v1/tracks/0AHZtMbyjHWhtWmqE8Egv7,https://api.spotify.com/v1/audio-analysis/0AHZtMbyjHWhtWmqE8Egv7,176250,4
Forest Background Ambience (Nature Birds River Stream in Woods Garden Noise Clip) [Sound Effect],0.197,0.778,10,-30.59,0,0.0459,0.443,0.89,0.363,0.014,143.256,audio_features,32JnNhxtfm9rnFWk2tLOYC,spotify:track:32JnNhxtfm9rnFWk2tLOYC,https://api.spotify.com/v1/tracks/32JnNhxtfm9rnFWk2tLOYC,https://api.spotify.com/v1/audio-analysis/32JnNhxtfm9rnFWk2tLOYC,70000,4
Good Night Sleep Rain 1,0.126,0.943,5,-14.132,1,0.0878,0.000124,0.976,0.208,0.0347,87.119,audio_features,1bxooa4BimoiDDFBScAIgD,spotify:track:1bxooa4BimoiDDFBScAIgD,https://api.spotify.com/v1/tracks/1bxooa4BimoiDDFBScAIgD,https://api.spotify.com/v1/audio-analysis/1bxooa4BimoiDDFBScAIgD,141779,4
Natural Mystic,0.868,0.281,7,-12.621,1,0.34,0.0515,6.95E-05,0.114,0.795,131.193,audio_features,2gvyIHua7cS9L53NvHfa9c,spotify:track:2gvyIHua7cS9L53NvHfa9c,https://api.spotify.com/v1/tracks/2gvyIHua7cS9L53NvHfa9c,https://api.spotify.com/v1/audio-analysis/2gvyIHua7cS9L53NvHfa9c,207733,4
La sirena varada,0.416,0.924,8,-3.836,0,0.0767,0.0302,0,0.0687,0.691,160.046,audio_features,185xDOLU8KPZKqhUICnjRz,spotify:track:185xDOLU8KPZKqhUICnjRz,https://api.spotify.com/v1/tracks/185xDOLU8KPZKqhUICnjRz,https://api.spotify.com/v1/audio-analysis/185xDOLU8KPZKqhUICnjRz,257360,4
Head Shoulders Knees & Toes (feat. Norma Jean Martine),0.798,0.828,2,-5.36,1,0.193,0.0247,2.55E-06,0.121,0.6,124.962,audio_features,14ngWWxvUSnIMXgF6rzSk1,spotify:track:14ngWWxvUSnIMXgF6rzSk1,https://api.spotify.com/v1/tracks/14ngWWxvUSnIMXgF6rzSk1,https://api.spotify.com/v1/audio-analysis/14ngWWxvUSnIMXgF6rzSk1,156960,4
Yo Te Siento,0.321,0.365,5,-15.389,1,0.0391,0.146,0,0.0974,0.752,204.537,audio_features,0KhPWgaX6dzIhW5lHsdxvi,spotify:track:0KhPWgaX6dzIhW5lHsdxvi,https://api.spotify.com/v1/tracks/0KhPWgaX6dzIhW5lHsdxvi,https://api.spotify.com/v1/audio-analysis/0KhPWgaX6dzIhW5lHsdxvi,202693,4
The Fear,0.648,0.827,10,-7.455,1,0.0419,0.408,4.04E-06,0.114,0.54,134.015,audio_features,6EYrRQl9XlA7gsdN1FQc0y,spotify:track:6EYrRQl9XlA7gsdN1FQc0y,https://api.spotify.com/v1/tracks/6EYrRQl9XlA7gsdN1FQc0y,https://api.spotify.com/v1/audio-analysis/6EYrRQl9XlA7gsdN1FQc0y,206080,4
Longview,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504,audio_features,3LRJbFT9rKoKv4aW7PuBJC,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,https://api.spotify.com/v1/tracks/3LRJbFT9rKoKv4aW7PuBJC,https://api.spotify.com/v1/audio-analysis/3LRJbFT9rKoKv4aW7PuBJC,233240,4
